customerID,firstName,lastName,phoneNo,loyalty_points,favorite_product,birthday
1,Lorinda,Libreros,875-133-9979,537,5,12/31/1999
2,Candy,Persent,211-301-6928,247,14,8/19/1993
3,Dwain,Toop,664-847-6570,76,3,9/26/2002
4,Issiah,Tomaszynski,732-640-1112,247,8,4/20/1998
5,Regen,Baum,655-167-6884,363,11,8/12/2005
6,Reg,Pallent,670-873-9426,673,4,12/28/1981
7,Cissiee,Dransfield,644-939-8849,322,9,2/5/1986
8,Frans,Guest,350-675-9793,676,9,7/20/1983
9,Papagena,Presho,568-642-5780,573,3,8/21/1999
10,Deb,Roll,762-409-8259,638,10,10/17/2002
11,Wilhelmine,Karleman,427-665-7992,573,2,3/30/1987
12,Carmella,Sinclar,491-412-2440,102,18,10/1/1986
13,Maje,Barbary,131-185-9782,85,16,8/9/1986
14,Ivory,Bubeer,782-738-1866,741,11,7/21/1980
15,Lanny,Berfoot,997-474-9436,149,10,3/13/1991
16,Tristan,Schwant,439-393-8183,244,18,7/28/1996
17,Mandel,Probetts,446-384-3855,645,18,12/6/2006
18,Boot,Cleugh,941-338-0989,729,12,6/30/1989
19,Dana,Mundee,720-577-7498,422,4,9/15/1992
20,Sabrina,Whibley,830-271-6367,690,8,6/1/1991
21,Loralee,Biddles,823-893-3517,516,20,10/19/1983
22,Aldwin,Larkings,265-276-1272,254,13,4/9/1987
23,Alyosha,Yanov,266-921-0895,394,11,7/24/1986
24,Worthington,Rizzardini,235-820-9525,729,17,10/7/2005
25,Jacquenette,Mockes,330-614-7039,737,19,11/19/2001
26,Etan,Ravelus,721-669-7460,754,4,7/3/1995
27,Pen,Curreen,420-825-2897,42,2,6/22/2007
28,Ramonda,McElhinney,749-957-6610,677,14,6/25/1990
29,Roderich,Coppard,909-299-6527,13,13,4/22/2007
30,Ashlie,Newlove,147-106-7897,677,10,9/18/1989
31,Misty,Holyland,369-202-3374,253,5,7/13/1984
32,Ariel,Vanyard,673-953-8847,658,17,3/29/2000
