employeeID,firstName,lastName,shift_preference,employment_type,hourly_rate,date_of_birth,email,phone_number
1,Rikki,Wims,night,part time,15.37,1/17/1989,rwims0@dell.com,574-209-1201
2,Clair,Goodered,night,full time,20.89,2/9/1986,cgoodered1@eepurl.com,367-250-7666
3,Vicki,Roche,night,part time,19.53,8/26/1989,vroche2@hostgator.com,511-962-9310
4,Winnifred,Pendleton,night,part time,15.56,8/30/1999,wpendleton3@51.la,596-870-4710
5,Tedra,Crudge,night,full time,39.68,1/21/1992,tcrudge4@xinhuanet.com,433-332-1263
6,Hendrik,Sammes,night,part time,15.26,5/29/1993,hsammes5@java.com,643-927-0712
7,Marylee,Larret,night,part time,39.76,1/22/1999,mlarret6@bbb.org,633-437-6354
8,Pincus,Neasam,night,part time,24.84,10/30/1990,pneasam7@youku.com,476-913-0941
9,Griffin,Iannuzzi,night,part time,22.47,6/3/1996,giannuzzi8@creativecommons.org,649-591-1065
10,Aurel,Chittem,day,part time,21.97,11/12/1998,achittem9@hexun.com,882-117-7557
11,Sigismundo,Ceeley,day,part time,15.78,4/20/1987,sceeleya@reuters.com,794-442-4003
12,Shay,Ludwig,day,full time,20.41,7/5/1996,sludwigb@deliciousdays.com,209-410-6872
13,Bryanty,Hartigan,day,part time,16.92,10/15/1995,bhartiganc@mayoclinic.com,270-243-5928
14,Jewell,Collison,day,part time,30.91,2/8/2003,jcollisond@sourceforge.net,353-903-6893
15,Emlynne,Radeliffe,day,full time,26.37,4/9/1995,eradeliffee@mozilla.org,886-866-4322
16,Steve,Abbes,night,part time,20.55,5/1/1993,sabbesf@walmart.com,449-243-8258
17,Eugenia,Merigeau,day,part time,19.88,5/17/2002,emerigeaug@printfriendly.com,101-405-7476
18,Angel,Girardi,day,full time,39.3,7/3/1999,agirardih@csmonitor.com,890-346-6456
19,Lizabeth,Lisamore,night,full time,27.53,12/29/1993,llisamorei@ucla.edu,462-364-2019
20,Shae,Lenz,day,part time,28.07,7/11/1987,slenzj@histats.com,855-499-3120
21,Waite,McRobbie,day,full time,18.23,7/18/1994,wmcrobbiek@cpanel.net,287-818-1595
22,Saloma,Woodyear,day,full time,26.79,8/11/1998,swoodyearl@howstuffworks.com,745-555-4675
23,Hillery,Pheasant,day,part time,34.91,11/1/1993,hpheasantm@4shared.com,202-387-0714
24,Jewell,Pellissier,day,part time,39.06,3/8/2001,jpellissiern@homestead.com,661-616-7473
25,Allison,Ridges,day,full time,31.08,2/7/2001,aridgeso@hostgator.com,646-658-9973
26,Debby,Saunton,day,part time,26.89,12/16/1996,dsauntonp@prlog.org,890-296-9723
27,Toby,Buggs,night,full time,31.47,11/1/1993,tbuggsq@sun.com,317-890-8171
28,Farlie,Ownsworth,day,full time,27.77,10/19/1989,fownsworthr@freewebs.com,417-829-2266
29,Darcey,Gruszecki,day,part time,38.07,9/29/1986,dgruszeckis@simplemachines.org,691-136-1106
30,Emmett,Boake,night,part time,28.91,6/14/2002,eboaket@webmd.com,490-319-3510
31,Bert,Bassil,day,full time,32.28,7/19/1994,bbassilu@twitter.com,576-632-4723
32,Conchita,Vice,day,part time,15.66,9/17/1998,cvicev@ameblo.jp,100-250-0256
33,Missy,Will,day,part time,36.98,9/21/2002,mwillw@globo.com,253-408-5341
34,Wes,Powley,night,part time,34.04,5/31/1996,wpowleyx@globo.com,462-394-0141
35,Fabien,Donovan,day,full time,19.78,11/1/2000,fdonovany@google.cn,335-396-5630
36,Sampson,Jablonski,day,full time,28.82,2/17/1999,sjablonskiz@deviantart.com,245-352-8408
37,Raddie,Roebottom,night,full time,28.42,5/23/1986,rroebottom10@51.la,182-775-7031
38,Casar,Elington,day,part time,22.66,11/3/1989,celington11@vinaora.com,771-145-8661
39,Jenn,A'field,night,full time,20.24,7/4/1985,jafield12@delicious.com,917-238-0535
40,Owen,MacGrath,night,part time,16.28,12/27/1999,omacgrath13@marriott.com,523-369-5583
41,Brian,McGuirk,night,part time,32.19,3/29/1986,bmcguirk14@howstuffworks.com,272-500-6049
42,Hasty,Duthie,day,part time,35.66,11/26/1985,hduthie15@reference.com,150-929-4232
43,Ida,Balstone,night,part time,17.04,3/23/1989,ibalstone16@cafepress.com,294-626-8049
44,Anthe,Else,night,part time,16.3,5/17/1998,aelse17@behance.net,502-582-3688
45,Kathi,Healey,night,part time,24.81,8/23/1995,khealey18@narod.ru,735-323-1119
46,Lionello,Rysdale,day,full time,36.17,2/10/1999,lrysdale19@washington.edu,367-235-9939
47,Harriette,Welland,night,part time,32.64,4/9/1994,hwelland1a@homestead.com,614-286-8110
48,Rosaleen,Francomb,night,part time,16.2,7/9/1994,rfrancomb1b@archive.org,187-516-9406
49,Demott,Stannard,day,part time,23.93,4/2/1997,dstannard1c@bloglovin.com,397-501-2099
50,Barby,Nathon,day,full time,32.88,7/31/1996,bnathon1d@ebay.com,389-563-0809
